Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,key_genre
,1283.0,290.0,830.0,842.0,11.0,1284.0,193.0,412.0,178.0,297.0,22.0,167.0,247.0,809.0,40.0,1518.0,198.0,158.0,Action
1283.0,,430.0,616.0,155.0,10.0,643.0,600.0,566.0,113.0,92.0,24.0,81.0,204.0,489.0,32.0,432.0,88.0,82.0,Adventure
290.0,430.0,,433.0,28.0,10.0,131.0,709.0,308.0,11.0,31.0,47.0,36.0,48.0,206.0,23.0,35.0,7.0,3.0,Animation
830.0,616.0,433.0,,465.0,28.0,1874.0,784.0,451.0,39.0,289.0,217.0,120.0,1459.0,324.0,77.0,345.0,48.0,61.0,Comedy
842.0,155.0,28.0,465.0,,11.0,1276.0,25.0,30.0,22.0,111.0,21.0,377.0,146.0,52.0,17.0,1241.0,10.0,18.0,Crime
11.0,10.0,10.0,28.0,11.0,,41.0,14.0,3.0,19.0,11.0,55.0,3.0,3.0,4.0,3.0,7.0,10.0,0.0,Documentary
1284.0,643.0,131.0,1874.0,1276.0,41.0,,366.0,387.0,575.0,414.0,266.0,608.0,2069.0,353.0,117.0,1958.0,454.0,131.0,Drama
193.0,600.0,709.0,784.0,25.0,14.0,366.0,,435.0,9.0,9.0,78.0,33.0,148.0,165.0,67.0,19.0,4.0,7.0,Family
412.0,566.0,308.0,451.0,30.0,3.0,387.0,435.0,,8.0,191.0,38.0,79.0,204.0,360.0,36.0,164.0,6.0,7.0,Fantasy
178.0,113.0,11.0,39.0,22.0,19.0,575.0,9.0,8.0,,7.0,14.0,8.0,103.0,5.0,15.0,59.0,181.0,14.0,History
297.0,92.0,31.0,289.0,111.0,11.0,414.0,9.0,191.0,7.0,,12.0,321.0,52.0,410.0,25.0,1072.0,8.0,11.0,Horror
22.0,24.0,47.0,217.0,21.0,55.0,266.0,78.0,38.0,14.0,12.0,,9.0,166.0,9.0,12.0,16.0,5.0,7.0,Music
167.0,81.0,36.0,120.0,377.0,3.0,608.0,33.0,79.0,8.0,321.0,9.0,,92.0,113.0,35.0,806.0,11.0,5.0,Mystery
247.0,204.0,48.0,1459.0,146.0,3.0,2069.0,148.0,204.0,103.0,52.0,166.0,92.0,,98.0,58.0,260.0,88.0,44.0,Romance
809.0,489.0,206.0,324.0,52.0,4.0,353.0,165.0,360.0,5.0,410.0,9.0,113.0,98.0,,34.0,555.0,10.0,7.0,Science Fiction
40.0,32.0,23.0,77.0,17.0,3.0,117.0,67.0,36.0,15.0,25.0,12.0,35.0,58.0,34.0,,44.0,5.0,5.0,TV Movie
1518.0,432.0,35.0,345.0,1241.0,7.0,1958.0,19.0,164.0,59.0,1072.0,16.0,806.0,260.0,555.0,44.0,,81.0,34.0,Thriller
198.0,88.0,7.0,48.0,10.0,10.0,454.0,4.0,6.0,181.0,8.0,5.0,11.0,88.0,10.0,5.0,81.0,,12.0,War
158.0,82.0,3.0,61.0,18.0,0.0,131.0,7.0,7.0,14.0,11.0,7.0,5.0,44.0,7.0,5.0,34.0,12.0,,Western
