adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,movie_status_code,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/6aUWe0GSl69wMTSWWexsorMIvwU.jpg,,160000000,"[{u'id': 14, u'name': u'Fantasy'}, {u'id': 10402, u'name': u'Music'}, {u'id': 10749, u'name': u'Romance'}]",http://movies.disney.com/beauty-and-the-beast-2017,321612,tt2771200,200,en,Beauty and the Beast,"[u""A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.""]",179.45132,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Mandeville Films', u'id': 10227}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2017-03-17,877017934,129.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Be our guest.,Beauty and the Beast,False,7.1,1260
False,/5pAGnkFYSsFJ99ZxDIYnhQbQFXs.jpg,"{u'backdrop_path': u'/Abnosho2v3bcdvDww6T7Hfeczm1.jpg', u'poster_path': u'/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg', u'id': 748, u'name': u'X-Men Collection'}",97000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 18, u'name': u'Drama'}, {u'id': 878, u'name': u'Science Fiction'}]",http://www.foxmovies.com/movies/logan,263115,tt3315342,200,en,Logan,"[u""In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.""]",116.369877,/45Y1G5FEgttPAwjTYic6czC9xCn.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u""Donners' Company"", u'id': 431}, {u'name': u'Marvel Entertainment', u'id': 7505}, {u'name': u'TSG Entertainment', u'id': 22213}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2017-02-28,585551399,141.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,His Time Has Come,Logan,False,7.6,2078
False,/fxDXp8un4qNY9b1dLd7SH6CKzC.jpg,,75000000,"[{u'id': 16, u'name': u'Animation'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 10751, u'name': u'Family'}, {u'id': 10402, u'name': u'Music'}]",http://www.singmovie.com/,335797,tt3470600,200,en,Sing,[u'A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.'],79.989984,/s9ye87pvq2IaDvjv9x4IOXVjvA7.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'Fuji Television Network', u'id': 3341}, {u'name': u'Dentsu', u'id': 6452}, {u'name': u'Illumination Entertainment', u'id': 6704}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2016-11-23,601303829,108.0,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'ja', u'name': u'\u65e5\u672c\u8a9e'}, {u'iso_639_1': u'uk', u'name': u'\u0423\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0438\u0439'}]",Released,Auditions begin 2016.,Sing,False,6.7,1007
False,/pGwChWiAY1bdoxL79sXmaFBlYJH.jpg,,190000000,"[{u'id': 878, u'name': u'Science Fiction'}, {u'id': 28, u'name': u'Action'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 14, u'name': u'Fantasy'}]",http://kongskullislandmovie.com/,293167,tt3731562,200,en,Kong: Skull Island,"[u'Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.']",60.933195,/aoUyphk4nwffrwlZRaOa0eijgpr.jpg,"[{u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Legendary Entertainment', u'id': 84419}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2017-03-08,478935658,118.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,All hail the king,Kong: Skull Island,False,6.1,876
False,/dkMD5qlogeRMiEixC4YNPUvax2T.jpg,"{u'backdrop_path': u'/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg', u'poster_path': u'/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', u'id': 328, u'name': u'Jurassic Park Collection'}",150000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 878, u'name': u'Science Fiction'}, {u'id': 53, u'name': u'Thriller'}]",http://www.jurassicworld.com/,135397,tt0369610,200,en,Jurassic World,"[u'Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.']",50.976724,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,"[{u'name': u'Universal Studios', u'id': 13}, {u'name': u'Amblin Entertainment', u'id': 56}, {u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Fuji Television Network', u'id': 3341}, {u'name': u'Dentsu', u'id': 6452}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-06-09,1513528810,124.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,The park is open.,Jurassic World,False,6.5,6716
False,/kMzU4PkXcKcDMngCxXji0BbVXsu.jpg,"{u'backdrop_path': u'/jc1Sh8U6dvWv9rHaRl8aosTAoPN.jpg', u'poster_path': u'/wsVseA7i3FqX24m26Z2gD3EtH4l.jpg', u'id': 435259, u'name': u'Fantastic Beasts Collection'}",180000000,"[{u'id': 12, u'name': u'Adventure'}, {u'id': 28, u'name': u'Action'}, {u'id': 14, u'name': u'Fantasy'}]",http://www.fantasticbeasts.com/,259316,tt3183660,200,en,Fantastic Beasts and Where to Find Them,"[u'In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.']",39.553052,/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,"[{u'name': u'Heyday films', u'id': 437}, {u'name': u'Warner Bros.', u'id': 6194}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2016-11-16,809342332,133.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,From J.K. Rowling's wizarding world.,Fantastic Beasts and Where to Find Them,False,7.0,3117
False,/iWRKYHTFlsrxQtfQqFOQyceL83P.jpg,"{u'backdrop_path': u'/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg', u'poster_path': u'/xwggrEugjcJDuabIWvK2CpmK91z.jpg', u'id': 137697, u'name': u'Finding Nemo Collection'}",200000000,"[{u'id': 12, u'name': u'Adventure'}, {u'id': 16, u'name': u'Animation'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 10751, u'name': u'Family'}]",http://movies.disney.com/finding-dory,127380,tt2277860,200,en,Finding Dory,[u'Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?'],33.089495,/z09QAf8WbZncbitewNk6lKYMZsh.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Pixar Animation Studios', u'id': 3}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2016-06-16,1028131226,97.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,An unforgettable journey she probably won't remember.,Finding Dory,False,6.7,2911
False,/lsRhmB7m36pEX0UHpkpJSE48BW5.jpg,,110000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 18, u'name': u'Drama'}, {u'id': 878, u'name': u'Science Fiction'}]",http://www.ghostintheshellmovie.com/,315837,tt1219827,200,en,Ghost in the Shell,"[u""In the near future, Major is the first of her kind: a human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.""]",41.800777,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'DreamWorks SKG', u'id': 27}, {u'name': u'Grosvenor Park Productions', u'id': 17449}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2017-03-29,58776033,106.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,,Ghost in the Shell,False,6.5,229
False,/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg,,165000000,"[{u'id': 12, u'name': u'Adventure'}, {u'id': 18, u'name': u'Drama'}, {u'id': 878, u'name': u'Science Fiction'}]",http://www.interstellarmovie.net/,157336,tt0816692,200,en,Interstellar,[u'Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.'],34.594463,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Syncopy', u'id': 9996}, {u'name': u'Lynda Obst Productions', u'id': 13769}]","[{u'iso_3166_1': u'CA', u'name': u'Canada'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'GB', u'name': u'United Kingdom'}]",2014-11-05,675120017,169.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,False,8.0,8058
False,/hES8wGmkxHa54z7hqUMpw5TIs09.jpg,,58000000,"[{u'id': 27, u'name': u'Horror'}, {u'id': 878, u'name': u'Science Fiction'}, {u'id': 53, u'name': u'Thriller'}]",http://www.lifemovie.com/,395992,tt5442430,200,en,Life,"[u'The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.']",31.221253,/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg,"[{u'name': u'Columbia Pictures', u'id': 5}, {u'name': u'Skydance Productions', u'id': 6277}, {u'name': u'Sony Pictures Entertainment (SPE)', u'id': 7431}, {u'name': u'Nvizage', u'id': 82925}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2017-03-23,50969239,103.0,"[{u'iso_639_1': u'cn', u'name': u'\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71'}, {u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'ja', u'name': u'\u65e5\u672c\u8a9e'}]",Released,Be careful what you search for,Life,False,6.1,218
False,/4G6FNNLSIVrwSRZyFs91hQ3lZtD.jpg,,9000000,"[{u'id': 27, u'name': u'Horror'}, {u'id': 53, u'name': u'Thriller'}]",http://www.splitmovie.com/,381288,tt4972582,200,en,Split,"[u'Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him\u2014as well as everyone around him\u2014as the walls between his compartments shatter apart.']",26.919741,/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'Blumhouse Productions', u'id': 3172}, {u'name': u'Blinding Edge Pictures', u'id': 12236}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2017-01-19,269961806,117.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,Split,False,6.7,1536
False,/bHarw8xrmQeqf3t8HpuMY7zoK4x.jpg,"{u'backdrop_path': u'/b09vRh5oOda2REMlv9yiMxULRIt.jpg', u'poster_path': u'/kFWLxUwcSpiLzszZbxUIZT9g6WR.jpg', u'id': 284433, u'name': u'Guardians of the Galaxy Collection'}",170000000,"[{u'id': 28, u'name': u'Action'}, {u'id': 878, u'name': u'Science Fiction'}, {u'id': 12, u'name': u'Adventure'}]",http://marvel.com/guardians,118340,tt2015381,200,en,Guardians of the Galaxy,"[u'Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.']",28.266373,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,"[{u'name': u'Marvel Studios', u'id': 420}, {u'name': u'Moving Picture Company (MPC)', u'id': 20478}, {u'name': u'Bulletproof Cupid', u'id': 54850}, {u'name': u'Revolution Sun Studios', u'id': 76043}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-07-30,773328629,121.0,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,All heroes start somewhere.,Guardians of the Galaxy,False,7.9,6746
