animation department,art department,camera and electrical department,cast,casting department,costume department,distributors,editorial department,genres,imdb_id,movie_status_code,mpaa,music department,plot,plot outline,rating,title,visual effects,votes
50.0,164.0,110.0,158.0,10.0,47.0,20.0,22.0,"[u'Family', u'Fantasy', u'Musical', u'Romance']",,True,"[u'Rated PG for some action violence, peril and frightening images']",64.0,"[u""Disney's animated classic takes on a new form, with a widened mythology and an all-star cast. A young prince, imprisoned in the form of a beast, can be freed only by true love. What may be his only opportunity arrives when he meets Belle, the only human girl to ever visit the castle since it was enchanted."", u'After leaving her small provincial village to find her missing father, the beautiful, independent Belle ( Emma Watson ) encounters a large, horrifying Beast ( Dan Stevens ) living inside a dark, forbidding castle with living antiques as his only companions. As Belle stays more with the Beast, she learns that true beauty is found within.', u""A French town meets a young girl who's name means beauty. An ordinary adventure by her father, Maurice takes a strange turn when a tree blocks his usual path. He goes down the other path and finds a beautiful castle with a beast and his only companions, talking furniture. He gets trapped while taking a rose for Belle. Belle goes to the castle and takes her father's place. While trapped there, she falls in love with the beast."", u'An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.']",[u'An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.'],7.8,[u'Beauty and the Beast'],609.0,78896.0
4.0,96.0,77.0,95.0,23.0,21.0,18.0,14.0,"[u'Action', u'Drama', u'Sci-Fi', u'Thriller']",,True,"[u'Rated R for strong brutal violence and language throughout, and for brief nudity']",24.0,"[u'In 2029 the mutant population has shrunk significantly and the X-Men have disbanded. Logan, whose power to self-heal is dwindling, has surrendered himself to alcohol and now earns a living as a chauffeur. He takes care of the ailing old Professor X whom he keeps hidden away. One day, a female stranger asks Logan to drive a girl named Laura to the Canadian border. At first he refuses, but the Professor has been waiting for a long time for her to appear. Laura possesses an extraordinary fighting prowess and is in many ways like Wolverine. She is pursued by sinister figures working for a powerful corporation; this is because her DNA contains the secret that connects her to Logan. A relentless pursuit begins - In this third cinematic outing featuring the Marvel comic book character Wolverine we see the superheroes beset by everyday problems. They are ageing, ailing and struggling to survive financially. A decrepit Logan is forced to ask himself if he can or even wants to put his remaining powers to good use. It would appear that in the near-future, the times in which they were able put the world to rights with razor sharp claws and telepathic powers are now over.', u""In the near future, a weary Logan cares for an ailing Professor X somewhere on the Mexican border. However, Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.""]","[u""In the near future, a weary Logan cares for an ailing Professor X somewhere on the Mexican border. However, Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.""]",8.5,[u'Logan'],160.0,209742.0
38.0,16.0,,61.0,4.0,,17.0,10.0,"[u'Animation', u'Comedy', u'Family', u'Music']",,True,[u'Rated PG for some rude humor and mild peril'],51.0,"[u""Set in a world like ours but entirely inhabited by animals, Buster Moon, a dapper koala, presides over a once-grand theater that has fallen on hard times. Buster is an eternal-some, might even say delusional-optimist, who loves his theater above all and will do anything to preserve it. Now faced with the crumbling of his life's ambition, he has one final chance to restore his fading jewel to its former glory by producing the world's greatest singing competition."", u""In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.""]","[u""In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.""]",7.2,[u'Sing'],50.0,47597.0
8.0,125.0,117.0,82.0,11.0,26.0,18.0,28.0,"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi']",,True,"[u'Rated PG-13 for intense sequences of sci-fi violence and action, and for brief strong language.']",30.0,"[u'A washed up monster chaser convinces the U.S. Government to fund a trip to an unexplored island in the South Pacific. Under the guise of geological research, the team travels to ""Skull Island"". Upon arrival, the group discover that their mission may be complicated by the wildlife which inhabits the island. The beautiful vistas and deadly creatures create a visually stunning experience that is sure to keep your attention.', u'When the Vietnam War ends, Bill Randa and his partner Houston Brooks from the Monarch organization succeed to get the financing for an expedition to the recently discovered Skull Island from Senator Willis. He hires the former Captain James Conrad to guide the expedition; a group of soldiers under the command of Colonel Preston Packard; and the awarded journalist and photographer Mason Weaver. On the arrival, the helicopters need to cross a storm and soon they drop bombs on the forest to map the seismology of the island. Soon they are attacked by a huge gorilla called Kong that destroys the helicopters and kills part of the crew and scatter the rest through the island. The group commanded by Conrad meets Hank Marlow, a survivor from the World War II that lives with a tribe of natives. He explains that Kong protects the island and the natives from underground monsters and shall not be killed. But Colonel Packard is insane seeking revenge for his men that died.', u'A diverse team of scientists, soldiers and adventurers unite to explore a mythical, uncharted island in the Pacific, as dangerous as it is beautiful. Cut off from everything they know, the team ventures into the domain of the mighty Kong, igniting the ultimate battle between man and nature. As their mission of discovery becomes one of survival, they must fight to escape a primal Eden in which humanity does not belong.', u""It's 1971, a team of explorers with a company of soldiers are following myth and legend in the Pacific amidst rumors of an island where creatures both prehistoric and monstrous are supposed to live. Soon they come across Skull Island, the very island of lore and legend. The creatures they soon come across make the soldiers and explorers running for their very lives. Soon Kong shows up to let all know that he is the King of Skull Island and top of the food chain. Will they survive to tell their story? Will beauty win the heart of the beast?"", u'A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.']","[u'A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.']",7.0,[u'Kong: Skull Island'],441.0,67900.0
,,,,,,,,,369610.0,False,,,,,,,,
53.0,121.0,99.0,170.0,8.0,79.0,22.0,27.0,"[u'Adventure', u'Family', u'Fantasy']",,True,[u'Rated PG-13 for some fantasy action violence'],42.0,"[u'Holding a mysterious leather suitcase in his hand, Newt Scamander, a young activist wizard from England, visits New York while he is on his way to Arizona. Inside his expanding suitcase hides a wide array of diverse, magical creatures that exist among us, ranging from tiny, twig-like ones, to majestic and humongous ones. It is the middle of the 20s and times are troubled since the already fragile equilibrium of secrecy between the unseen world of wizards and the ordinary or ""No-Maj"" people that the MACUSA Congress struggles to maintain, is at risk of being unsettled. In the meantime, the voices against wizardry keep growing with daily protests led by Mary Lou Barebone and fuelled by the increasing disasters ascribed to a dark wizard, Gellert Grindelwald. At the same time, by a twist of fate, Newt\'s precious suitcase will be switched with the identical one of an aspiring No-Maj baker, Jacob Kowalski, while demoted Auror, Tina Goldstein, arrests Newt for being an unregistered wizard. To make matters worse, with the suitcase in the wrong hands, several creatures manage to escape to unknown directions. Before long, this situation will catch Senior Auror Percival Graves\' attention who will target both Tina and Newt amid panic caused by an invisible, devastating and utterly unpredictable menace that still wreaks havoc in New York\'s 5th Avenue. Is there a hidden agenda behind Graves\' intentions and ultimately, what will happen to the remaining magical creatures still loose in the streets?', u""The year is 1926 and Newt Scamander has just completed a global excursion to find and document an extraordinary array of magical creatures. Arriving in New York for a brief stopover, he might have come and gone without incident...were it not for a No-Maj (American for Muggle) named Jacob, a misplaced magical case, and the escape of some of Newt's fantastic beasts, which could spell trouble for both the wizarding and No-Maj worlds."", u""The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.""]","[u""The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.""]",7.5,[u'Fantastic Beasts and Where to Find Them'],1321.0,210857.0
71.0,6.0,1.0,66.0,1.0,,31.0,25.0,"[u'Animation', u'Adventure', u'Comedy', u'Family']",,True,[u'Rated PG for mild thematic elements'],30.0,"[u'Dory is a wide-eyed, blue tang fish who suffers from memory loss every 10 seconds or so. The one thing she can remember is that she somehow became separated from her parents as a child. With help from her friends Nemo and Marlin, Dory embarks on an epic adventure to find them. Her journey brings her to the Marine Life Institute, a conservatory that houses diverse ocean species.', u'The blue tang fish we have all grown to love returns along with her new ""family"": Nemo and Marlin. However, when a field trip brings back some old memories of Dory\'s real family, she sets off on a journey across the ocean to California waters. With new friends like Hank the septopus and Destiny the whale shark, Dory learns that her parents might be closer than she believes.', u'Not long after Nemo is found and returned home safely from his adventure, his friendly but forgetful blue tang fish pal, Dory, begins to remember bits and pieces of her past, as she ventures out on her own to begin searching for her long-lost parents.', u'The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.']","[u'The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.']",7.4,[u'Finding Dory'],76.0,149826.0
12.0,92.0,66.0,54.0,8.0,27.0,16.0,23.0,"[u'Action', u'Crime', u'Drama', u'Mystery', u'Sci-Fi', u'Thriller']",,True,"[u'Rated PG-13 for intense sequences of sci-fi violence, suggestive content and some disturbing images']",24.0,"[u'In the near future, Major Motoko Kusanagi (Scarlett Johansson) is the first of her kind: A human saved from a terrible terrorist attack, who is cyber-enhanced to be a perfect soldier devoted to stopping the world\'s most dangerous criminals. When terrorism reaches a new level that includes the ability to hack into people\'s minds and control them, Major Kusanagi is uniquely qualified to stop it. As she prepares to face a new enemy, Major Kusanagi discovers that she has been lied to: her life was not saved, it was stolen. She will stop at nothing to recover her past, find out who did this to her and stop them before they do it to others. Based on the internationally acclaimed Japanese Manga, ""The Ghost in the Shell.""', u""In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.""]","[u""In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.""]",6.8,[u'Ghost in the Shell'],451.0,36642.0
,112.0,107.0,43.0,7.0,31.0,41.0,26.0,"[u'Adventure', u'Drama', u'Sci-Fi']",,True,[u'Rated PG-13 for some intense perilous action and brief strong language. (Approved No. 49218)'],67.0,"[u""Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life."", u""In the near future around the American Midwest, Cooper an ex-science engineer and pilot, is tied to his farming land with his daughter Murph and son Tom. As devastating sandstorms ravage earths crops, the people of Earth realize their life here is coming to an end as food begins to run out. Eventually stumbling upon a NASA base near Cooper's home, he is asked to go on a daring mission with a few other scientists into a wormhole because of Cooper's scientific intellect and ability to pilot aircraft unlike the other crew members. In order to find a new home while Earth decays, Cooper must decide to either stay, or risk never seeing his children again in order to save the human race by finding another habitable planet."", u'A team of explorers must find the human race a new home after earth is struck with worldwide food shortages and corn is the most valuable food. Utilizing a mysterious wormhole they explore strange new worlds and could find a home to save the human race.', u'Murphy\'s law suggests that ""whatever can go wrong, will go wrong."" Christopher Nolan\'s Interstellar, plays with the idea space exploration, time and gravity as Earth and the human race is on the verge of extinction. NASA\'s last hope looks to Coop, Brand, Romilly and Tars under the direction of Professor Brand to search for answers in the deepest corners of space while dealing with Murphy\'s Law. Coop leaves behind his family in search of new horizons as Christopher Nolan explores the eternal bonds of love between a father and his daughter.', u""In Earth's future, a global crop blight and second Dust Bowl are slowly rendering the planet uninhabitable. Professor Brand, a brilliant NASA physicist, is working on plans to save mankind by transporting Earth's population to a new home via a wormhole. But first, Brand must send former NASA pilot Cooper and a team of researchers through the wormhole and across the galaxy to find out which of three planets could be mankind's new home."", u""A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.""]","[u""A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.""]",8.6,[u'Interstellar'],454.0,1033243.0
7.0,71.0,34.0,17.0,3.0,16.0,13.0,9.0,"[u'Horror', u'Sci-Fi', u'Thriller']",,True,"[u'Rated R for language throughout, some sci-fi violence and terror']",21.0,"[u""Six astronauts aboard the space station study a sample collected from Mars that could provide evidence for extraterrestrial life on the Red Planet. The crew determines that the sample contains a large, single-celled organism - the first example of life beyond Earth. But..things aren't always what they seem. As the crew begins to conduct research, and their methods end up having unintended consequences, the life form proves more intelligent than anyone ever expected."", u'Life tells the story of the six-member crew of the International Space Station that is on the cutting edge of one of the most important discoveries in human history: the first evidence of extraterrestrial life on Mars. As the crew begins to conduct research, their methods end up having unintended consequences and the life form proves more intelligent than anyone ever expected.', u'A crew aboard the International Space Station (ISS) performs a successful capture of a space probe returning from Mars with a sample inside. The crew is tasked with studying the sample, which may be the first proof of extraterrestrial life. However, the study eventually backfires as the organism gains intelligence. Trapped aboard the ISS with the rapidly-growing organism, the crew must find out how to kill it before it manages to escape and decimate Earth.', u'A team of scientists aboard the International Space Station discover a rapidly evolving life form, that caused extinction on Mars, and now threatens the crew and all life on Earth.']","[u'A team of scientists aboard the International Space Station discover a rapidly evolving life form, that caused extinction on Mars, and now threatens the crew and all life on Earth.']",7.0,[u'Life'],300.0,30931.0
