part_of_collection,budget,genres,id,imdb_id,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
FALSE,4700000,"[{u'id': 18, u'name': u'Drama'}, {u'id': 80, u'name': u'Crime'}]",20268,1280567,"[u'Sandro was a boy who loved to sing rap, to kiss, to stare the statue of Christ the Redeemer and dreamed to go visit Copacabana. Growing up on streets, the story culminates at the infamous episode of June 12th 2000, when Sandro hijacked bus 174.']",0.240501,/165IjZHN5sEgTiXUsK75K9O9Xp8.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'Moonshot Pictures', u'id': 4290}, {u'name': u'Movie%26Art', u'id': 4291}, {u'name': u'Lereby', u'id': 4292}]","[{u'iso_3166_1': u'BR', u'name': u'Brazil'}, {u'iso_3166_1': u'FR', u'name': u'France'}]",10/24/2008,0,108,"[{u'iso_639_1': u'pt', u'name': u'Portugu\xeas'}]",[u''],[u'Last Stop 174'],7.1,26
FALSE,0,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 10751, u'name': u'Family'}]",20277,61135,"[u'The Garrisons (Dean Jones and Suzanne Pleshette) are the ""proud parents"" of three adorable dachshund pups -- and one overgrown Great Dane named Brutus, who nevertheless thinks of himself as a dainty dachsie. His identity crisis results in an uproarious series of household crises that reduce the Garrisons\' house to shambles -- and viewers to howls of laughter!']",0.239113,/lQzcb9Cas38dAkhx52UgyIQEYUs.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2/16/1966,0,93,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'A HAPPY HONEYMOON GOES TO THE DOGS!...When a Great Dane disguised as a Dachsie crashes the party!'],[u'The Ugly Dachshund'],6.5,20
FALSE,2300000,"[{u'id': 18, u'name': u'Drama'}, {u'id': 35, u'name': u'Comedy'}]",20283,78902,"[u'Dave, nineteen, has just graduated high school, with his 3 friends, The comical Cyril, the warm hearted but short-tempered Moocher, and the athletic, spiteful but good-hearted Mike. Now, Dave enjoys racing bikes and hopes to race the Italians one day, and even takes up the Italian culture, much to his friends and parents annoyance.']",0.329684,/aHQj3D9fvWILOZWLuqS3WRHjGkq.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",5/24/1979,20000000,100,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'The movie that tells you exactly what you can do with your high school diploma!'],[u'Breaking Away'],7.4,68
TRUE,17000000,"[{u'id': 18, u'name': u'Drama'}]",249660,2528814,"[u""College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.""]",0.392921,/a4QdH1RG6jvzZ1SLmCI7vaDD9Ez.jpg,"[{u'name': u'Pure Flix Entertainment', u'id': 6427}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",3/21/2014,29789000,113,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'What do you believe?'],"[u""God's Not Dead""]",5.8,188
FALSE,0,"[{u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 28, u'name': u'Action'}]",184125,2368553,"[u'Jim is an average New Yorker living a peaceful life with a well paying job and a loving family. Suddenly, everything changes when the economy crashes causing Jim to lose everything. Filled with anger and rage, Jim snaps and goes to extreme lengths to seek revenge for the life taken from him.']",0.449553,/5MPJ0anWmqo29DCbUMgE2ZPzGJx.jpg,"[{u'name': u'Lynn Peak Productions', u'id': 18769}, {u'name': u'Studio West Productions(VCC)', u'id': 23633}]","[{u'iso_3166_1': u'CA', u'name': u'Canada'}]",6/30/2013,0,99,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'Power. Greed. Justice.'],[u'Assault on Wall Street'],5.7,189
FALSE,0,"[{u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 37, u'name': u'Western'}]",20287,92997,"[u'A Texas Ranger and a ruthless narcotics kingpin - they were childhood friends, now they are adversaries.']",0.782606,/fyELeSOxHnDAXAf6da6wU4iEShb.jpg,"[{u'name': u'TriStar Pictures', u'id': 559}, {u'name': u'Carolco Pictures', u'id': 14723}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",4/24/1987,0,101,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Espa\xf1ol'}]","[u""An army of forgotten heroes, all officially dead. They live for combat. Now they've met the wrong man.""]",[u'Extreme Prejudice'],5.8,16
FALSE,0,"[{u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}]",20289,102820,"[u""Undercover cop Jim Raynor (Jason Patric) is a seasoned veteran. His partner, Kristen Cates (Jennifer Jason Leigh), is lacking in experience, but he thinks she's tough enough to work his next case with him: a deep cover assignment to bring down the notoriously hard-to-capture drug lord Gaines (Gregg Allman). While their relationship turns romantic during the assignment, they also turn into junkies, and will have to battle their own addictions if they want to bring down Gaines once and for all.""]",0.320769,/1euLGu3gg3eHmnhBZXAFN2x1pFG.jpg,"[{u'name': u'The Zanuck Company', u'id': 80}, {u'name': u'Metro-Goldwyn-Mayer (MGM)', u'id': 8411}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",12/22/1991,0,120,"[{u'iso_639_1': u'en', u'name': u'English'}]","[u""How far do they go before they've gone too far?""]",[u'Rush'],6.8,33
FALSE,0,"[{u'id': 18, u'name': u'Drama'}, {u'id': 9648, u'name': u'Mystery'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 80, u'name': u'Crime'}, {u'id': 10749, u'name': u'Romance'}]",46503,1175709,"[u'""All Good Things"" is a love story and murder mystery based on the most notorious unsolved murder case in New York history. The original screenplay uses newly discovered facts, court records and speculation as the foundation for an imaginative spellbinding story of family, obsession, love and loss.']",1.323251,/vhK2BESu5lBskZqWCmtGaH24vDS.jpg,"[{u'name': u'The Weinstein Company', u'id': 308}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",12/3/2010,0,101,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'The perfect love story. Until it became the perfect crime.'],[u'All Good Things'],5.9,250
FALSE,0,"[{u'id': 53, u'name': u'Thriller'}, {u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}]",151368,2409818,"[u""Nick is excited to discover that he's won a dinner date with his favorite actress, Jill Goddard. But when Jill refuses to honor the contest, he receives an offer he can't refuse: the ability to view Jill secretly via computer. Nick begins watching the unknowing star on her webcam, not realizing that this decision will put both himself and Jill at risk as they enter a terrifying world of cat-and-mouse where nothing-and no one-are as they seem.""]",0.532122,/ATI8sLJ0pYNyJOIPaxX8tzcBsF.jpg,"[{u'name': u'Wild Bunch', u'id': 856}, {u'name': u'Sayaka Producciones Audiovisuales', u'id': 7344}, {u'name': u'Apaches Entertainment', u'id': 8111}, {u'name': u'La Panda', u'id': 17727}, {u'name': u'Atresmedia Cine', u'id': 29566}, {u'name': u'SpectreVision', u'id': 34519}]","[{u'iso_3166_1': u'FR', u'name': u'France'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'ES', u'name': u'Spain'}]",7/4/2014,0,101,"[{u'iso_639_1': u'es', u'name': u'Espa\xf1ol'}, {u'iso_639_1': u'en', u'name': u'English'}]",[u'The 21st Century REAR WINDOW.'],[u'Open Windows'],5,162
TRUE,60000000,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10751, u'name': u'Family'}]",14306,822832,"[u""A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.""]",2.129072,/nbfwgfNGxl3WiqvUCnSYrS8Qwhp.jpg,"[{u'name': u'Sunswept Entertainment', u'id': 5219}, {u'name': u'Dune Entertainment III', u'id': 6332}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",12/25/2008,244082376,115,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'Heel the love.'],[u'Marley & Me'],6.8,1028
