Action,Comedy,Documentary,Drama,Family,Horror,Romance,Thriller
0.104,0.352,0.004,0.1,0.014,0.184,0.122,0.12
0.082,0.174,0.01,0.422,0.018,0.028,0.146,0.12
0.05,0.05,0.0,0.684,0.012,0.008,0.158,0.038
0.068,0.064,0.002,0.608,0.004,0.002,0.146,0.106
0.088,0.104,0.288,0.16,0.168,0.06,0.088,0.044
0.132,0.16,0.064,0.25,0.026,0.152,0.144,0.072
0.296,0.068,0.008,0.26,0.074,0.02,0.098,0.176
0.264,0.214,0.014,0.16,0.026,0.024,0.234,0.064
0.086,0.318,0.0,0.16,0.032,0.044,0.152,0.208
0.354,0.084,0.006,0.322,0.012,0.042,0.118,0.062
0.038,0.168,0.018,0.026,0.73,0.002,0.01,0.008
0.38,0.022,0.0,0.342,0.014,0.006,0.06,0.176
0.068,0.056,0.004,0.55,0.018,0.048,0.168,0.088
0.11,0.284,0.0,0.186,0.02,0.16,0.05,0.19
0.092,0.29,0.002,0.14,0.022,0.28,0.058,0.116
0.052,0.232,0.0,0.218,0.016,0.268,0.054,0.16
0.158,0.096,0.006,0.142,0.02,0.276,0.202,0.1
0.122,0.088,0.402,0.16,0.052,0.086,0.036,0.054
0.48,0.066,0.0,0.142,0.15,0.012,0.05,0.1
0.06,0.214,0.046,0.266,0.054,0.042,0.27,0.048
0.176,0.232,0.004,0.102,0.264,0.072,0.062,0.088
0.036,0.166,0.022,0.036,0.708,0.0,0.026,0.006
0.052,0.506,0.0,0.114,0.006,0.072,0.068,0.182
0.074,0.152,0.0,0.216,0.02,0.14,0.17,0.228
0.034,0.084,0.304,0.37,0.024,0.036,0.114,0.034
0.084,0.094,0.02,0.434,0.01,0.084,0.136,0.138
0.106,0.066,0.01,0.172,0.434,0.024,0.142,0.046
0.072,0.074,0.0,0.256,0.024,0.254,0.082,0.238
0.098,0.276,0.002,0.214,0.036,0.166,0.07,0.138
0.082,0.084,0.0,0.484,0.016,0.016,0.214,0.104
0.044,0.052,0.002,0.474,0.002,0.168,0.072,0.186
0.074,0.048,0.002,0.346,0.0,0.026,0.478,0.026
0.088,0.104,0.088,0.376,0.062,0.086,0.128,0.068
0.062,0.204,0.012,0.35,0.046,0.03,0.23,0.066
0.086,0.054,0.006,0.658,0.002,0.016,0.116,0.062
0.186,0.234,0.046,0.158,0.056,0.152,0.07,0.098
0.196,0.134,0.004,0.132,0.198,0.154,0.062,0.12
0.364,0.006,0.0,0.26,0.01,0.0,0.094,0.266
0.046,0.148,0.0,0.22,0.004,0.25,0.084,0.248
0.206,0.132,0.0,0.23,0.016,0.128,0.072,0.216
0.056,0.344,0.0,0.172,0.05,0.04,0.274,0.064
0.134,0.08,0.002,0.092,0.54,0.028,0.056,0.068
0.086,0.1,0.004,0.032,0.716,0.036,0.008,0.018
0.038,0.57,0.0,0.13,0.056,0.02,0.158,0.028
0.06,0.072,0.0,0.628,0.002,0.016,0.08,0.142
0.374,0.098,0.0,0.112,0.036,0.036,0.07,0.274
0.042,0.288,0.0,0.094,0.046,0.32,0.08,0.13
