part_of_collection,budget,popularity,production_companies,release_month,release_year,revenue,runtime,spoken_languages,vote_average,vote_count,animation department,art department,camera and electrical department,cast,casting department,costume department,distributors,editorial department,music department,rating,visual effects,votes,genre,overview_length,tagline_length,plot_length,plot_outline_length,mpaa_rating_text_length,id,mpaa_rating_NR,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R,overview_cluster_0,overview_cluster_1,overview_cluster_2,overview_cluster_3,overview_cluster_4,overview_cluster_5,overview_cluster_6,tagline_cluster_0,tagline_cluster_1,tagline_cluster_2,tagline_cluster_3,tagline_cluster_4,plot_cluster_0,plot_cluster_1,plot_cluster_2,plot_cluster_3,plot_cluster_4,plot_cluster_5,plot_cluster_6,plot_cluster_7,plot_cluster_8,plot_cluster_9,plot outline_cluster_0,plot outline_cluster_1,plot outline_cluster_2,plot outline_cluster_3,plot outline_cluster_4,plot outline_cluster_5,plot outline_cluster_6,plot outline_cluster_7,plot outline_cluster_8,plot outline_cluster_9,mpaa_rating_text_cluster_0,mpaa_rating_text_cluster_1,mpaa_rating_text_cluster_2,mpaa_rating_text_cluster_3,mpaa_rating_text_cluster_4,mpaa_rating_text_cluster_5,mpaa_rating_text_cluster_6,mpaa_rating_text_cluster_7,mpaa_rating_text_cluster_8,mpaa_rating_text_cluster_9,poster_path,pp
False,25000000,0.361584,2,12,1986,38748395,94.0,1,6.6,320,0.0,36.0,25.0,46.0,1.0,6.0,14.0,10.0,44.0,6.9,65.0,51788.0,Comedy,392,22,601,121,123,10776,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10776,poster_images/10776-Little Shop of Horrors.jpg
False,250000,1.130676,1,1,1921,2500000,68.0,1,7.9,302,0.0,0.0,2.0,66.0,0.0,1.0,35.0,0.0,3.0,8.3,0.0,74378.0,Comedy - Drama,397,15,872,85,0,10098,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10098,poster_images/10098-The Kid.jpg
False,0,0.288677,1,8,2014,0,88.0,1,3.3,8,0.0,1.0,14.0,42.0,1.0,0.0,3.0,5.0,1.0,3.4,2.0,1202.0,Comedy,160,24,164,164,0,292191,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292191,poster_images/292191-Bachelor Night.jpg
False,13000000,0.79923,4,8,1998,16757163,93.0,1,5.5,107,0.0,21.0,35.0,107.0,8.0,14.0,18.0,17.0,14.0,5.8,0.0,28397.0,Drama,77,50,230,76,39,3682,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3682,poster_images/3682-54.jpg
False,18000000,0.357243,2,9,1998,9495408,131.0,6,7.1,81,0.0,14.0,23.0,59.0,5.0,6.0,29.0,1.0,12.0,7.7,10.0,27653.0,Drama - Romance,383,0,464,186,14,14283,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14283,poster_images/14283-The Red Violin.jpg
False,0,0.895333,3,11,1982,6455530,92.0,2,6.8,92,16.0,1.0,1.0,22.0,0.0,0.0,19.0,0.0,23.0,7.5,0.0,19984.0,Family,471,27,473,114,0,10150,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10150,poster_images/10150-The Last Unicorn.jpg
False,0,0.287333,1,2,1952,0,7.0,2,7.1,20,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,8.1,0.0,2349.0,Family,63,0,247,81,0,83765,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83765,poster_images/83765-Feed the Kitty.jpg
False,0,0.25,0,6,1974,0,80.0,0,7.0,2,0.0,0.0,2.0,31.0,0.0,0.0,2.0,0.0,0.0,6.6,0.0,162.0,Drama,160,0,181,181,0,79527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79527,poster_images/79527-Mariken from Nieumeghen.jpg
False,0,0.251478,0,5,2011,0,104.0,1,5.2,9,0.0,5.0,14.0,47.0,2.0,3.0,1.0,2.0,1.0,5.7,0.0,1198.0,Comedy - Romance,583,0,675,107,25,62522,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62522,poster_images/62522-35 and Ticking.jpg
False,60000000,0.936238,4,9,2006,17800000,140.0,2,6.2,224,0.0,53.0,47.0,43.0,1.0,10.0,21.0,9.0,19.0,6.6,146.0,36575.0,Drama - Romance,183,24,617,183,43,9664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9664,poster_images/9664-Flyboys.jpg
False,35000000,0.234578,2,9,2000,0,119.0,1,6.1,37,0.0,21.0,40.0,57.0,2.0,2.0,18.0,11.0,12.0,5.7,23.0,9359.0,Thriller,490,84,1630,61,43,14805,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14805,poster_images/14805-Bait.jpg
False,0,0.165849,2,9,2011,0,90.0,2,2.0,1,0.0,4.0,1.0,7.0,0.0,2.0,1.0,2.0,0.0,6.4,1.0,42.0,Drama,564,47,0,0,0,112062,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112062,poster_images/112062-X-Deal.jpg
False,0,0.170372,1,1,1997,0,95.0,1,3.6,17,0.0,5.0,7.0,23.0,1.0,1.0,12.0,2.0,0.0,3.8,0.0,2375.0,Drama - Thriller,123,0,315,123,59,17100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17100,poster_images/17100-Trucks.jpg
